Player_Name,Matches,Not_Outs,Runs_Scored,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls,Best_Bowling,Best_Bowling_Match,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate
Ashutosh Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Atharva Taide,7,0,186,129,0,2,20,6,5,0,0,0,0,0,0,"(0, 0)",0/0,26.571428571428573,144.1860465116279,0.0,0.0,0.0
Avanish Rao Aravelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Avesh Khan,48,6,31,20,0,0,2,3,9,0,1024,1469,55,1,0,"(4, 24)",4/24,0.7380952380952381,155.0,26.70909090909091,8.607421875,18.618181818181817
Axar Patel,137,32,1439,1097,0,1,90,70,59,0,2859,3446,112,1,0,"(4, 21)",4/21,13.704761904761904,131.17593436645396,30.767857142857142,7.231899265477439,25.526785714285715
Ayush Badoni,29,5,400,307,0,2,24,19,11,0,19,17,2,0,0,"(1, 5)",1/5,16.666666666666668,130.29315960912052,8.5,5.368421052631579,9.5
Azmatullah Omarzai,1,0,17,11,0,0,1,1,0,0,36,57,2,0,0,"(2, 27)",2/27,17.0,154.54545454545453,28.5,9.5,18.0
B. Sai Sudharsan,14,2,552,409,0,4,50,16,3,0,0,0,0,0,0,"(0, 0)",0/0,46.0,134.96332518337408,0.0,0.0,0.0
BR Sharath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Bhuvneshwar Kumar,161,30,283,297,0,0,27,3,32,0,3592,4447,170,2,2,"(5, 19)",5/19,2.1603053435114505,95.28619528619528,26.158823529411766,7.428173719376392,21.129411764705882
Cameron Green,18,7,473,309,1,2,41,22,6,0,258,407,8,0,0,"(2, 27)",2/27,43.0,153.07443365695792,50.875,9.465116279069768,32.25
Chetan Sakariya,19,2,20,31,0,0,3,0,6,0,426,599,20,0,0,"(3, 31)",3/31,1.1764705882352942,64.51612903225806,29.95,8.43661971830986,21.3
Chris Woakes,21,6,78,77,0,0,7,2,7,0,440,658,30,0,0,"(3, 6)",3/6,5.2,101.29870129870129,21.933333333333334,8.972727272727273,14.666666666666666
Darshan Nalkande,3,0,0,1,0,0,0,0,0,0,55,103,3,0,0,"(2, 37)",2/37,0.0,0.0,34.333333333333336,11.236363636363636,18.333333333333332
Daryl Mitchell,4,1,63,70,0,0,2,2,2,0,12,27,0,0,0,"(0, 0)",0/0,21.0,90.0,0.0,13.5,0.0
David Miller,122,40,2726,1972,1,12,188,126,71,0,0,0,0,0,0,"(0, 0)",0/0,33.24390243902439,138.23529411764704,0.0,0.0,0.0
David Warner,177,22,6426,4593,4,61,649,228,79,0,1,2,0,0,0,"(0, 0)",0/0,41.458064516129035,139.90855649902025,0.0,12.0,0.0
David Willey,11,3,53,62,0,0,7,0,4,0,216,272,6,0,0,"(2, 16)",2/16,6.625,85.48387096774194,45.333333333333336,7.555555555555555,36.0
Deepak Chahar,75,6,80,59,0,0,2,6,13,0,1552,2056,73,2,0,"(4, 13)",4/13,1.1594202898550725,135.59322033898303,28.164383561643834,7.948453608247422,21.26027397260274
Deepak Hooda,108,15,1346,1039,0,7,82,60,51,0,355,509,10,0,0,"(2, 16)",2/16,14.473118279569892,129.54764196342637,50.9,8.60281690140845,35.5
Devdutt Padikkal,58,2,1521,1216,1,9,166,42,24,0,0,0,0,0,0,"(0, 0)",0/0,27.160714285714285,125.08223684210526,0.0,0.0,0.0
Devon Conway,23,3,924,654,0,9,99,30,8,0,0,0,0,0,0,"(0, 0)",0/0,46.2,141.28440366972478,0.0,0.0,0.0
Dewald Brevis,8,0,207,151,0,0,16,14,3,0,3,8,1,0,0,"(1, 8)",1/8,25.875,137.08609271523179,8.0,16.0,3.0
Dhruv Jurel,14,5,172,100,0,0,12,10,4,0,0,0,0,0,0,"(0, 0)",0/0,19.11111111111111,172.0,0.0,0.0,0.0
Dilshan Madushanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Dinesh Karthik,244,48,4582,3439,0,20,445,143,141,36,0,0,0,0,0,"(0, 0)",0/0,23.377551020408163,133.23640593195697,0.0,0.0,0.0
Donovan Ferreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
